F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S mangesh     2005    1651  0  80   0 - 95891 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-a11y-settings
0 S mangesh     2006    1651  0  80   0 - 103909 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-color
0 S mangesh     2009    1651  0  80   0 - 107927 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-datetime
0 S mangesh     2010    1651  0  80   0 - 96296 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-housekeeping
0 S mangesh     2012    1651  0  80   0 - 103627 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-keyboard
0 S mangesh     2016    1651  0  80   0 - 184030 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-media-keys
0 S mangesh     2019    1651  0  80   0 - 148884 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-power
0 S mangesh     2020    1651  0  80   0 - 136676 do_pol 08:47 ?       00:00:00 /usr/libexec/goa-daemon
0 S mangesh     2027    1651  0  80   0 - 80907 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-print-notifications
0 S mangesh     2028    1651  0  80   0 - 132771 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-rfkill
0 S mangesh     2035    1651  0  80   0 - 77390 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
0 S mangesh     2036    1651  0  80   0 - 135810 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-sharing
0 S mangesh     2037    1651  0  80   0 - 96466 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-smartcard
0 S mangesh     2040    1651  0  80   0 - 98387 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-sound
0 S mangesh     2043    1651  0  80   0 - 85354 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-wacom
0 S mangesh     2047    1651  0  80   0 - 104161 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-xsettings
0 S mangesh     2049    1836  0  80   0 - 223845 do_pol 08:47 ?       00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
0 S mangesh     2059    1836  0  80   0 - 76373 do_pol 08:47 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
0 S mangesh     2064    1651  0  80   0 - 97341 do_pol 08:47 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
0 S mangesh     2083    1836  0  80   0 - 96890 do_pol 08:47 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
0 S mangesh     2150    1651  0  80   0 - 97281 do_pol 08:47 ?        00:00:00 /usr/libexec/goa-identity-service
0 S mangesh     2171    2003  0  80   0 - 77618 do_pol 08:47 ?        00:00:00 /usr/libexec/ibus-dconf
0 S mangesh     2173    2003  0  80   0 - 86977 do_pol 08:47 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
0 S mangesh     2181    1651  0  80   0 - 66812 do_pol 08:47 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
0 S mangesh     2191    1651  0  80   0 - 77606 do_pol 08:47 ?        00:00:00 /usr/libexec/ibus-portal
0 S mangesh     2217    1651  0  80   0 - 222692 do_pol 08:47 ?       00:00:00 /usr/libexec/evolution-calendar-factory
0 S mangesh     2233    1651  0  80   0 - 77448 do_pol 08:47 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
0 S mangesh     2250    1651  0  80   0 - 77443 do_pol 08:47 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
0 S mangesh     2258    1651  0  80   0 - 97344 do_pol 08:47 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
0 S mangesh     2265    1651  0  80   0 - 206370 do_pol 08:47 ?       00:00:00 /usr/libexec/evolution-addressbook-factory
0 S mangesh     2273    1651  0  80   0 - 77690 do_pol 08:47 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
0 S mangesh     2301    1651  0  80   0 - 634923 do_pol 08:47 ?       00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
0 S mangesh     2326    2003  0  80   0 - 59192 do_pol 08:47 ?        00:00:00 /usr/libexec/ibus-engine-simple
0 S mangesh     2345    1651  0  80   0 - 104059 do_pol 08:47 ?       00:00:00 /usr/libexec/gsd-printer
0 S mangesh     2347    1651  0  99   - - 203632 do_pol 08:47 ?       00:00:00 /usr/libexec/tracker-miner-fs-3
4 S cups-br+    2388       1  0  80   0 - 67083 -      08:47 ?        00:00:00 /usr/sbin/cups-browsed
1 S kernoops    2391       1  0  80   0 -  3186 -      08:47 ?        00:00:00 /usr/sbin/kerneloops --test
1 S kernoops    2398       1  0  80   0 -  3186 -      08:47 ?        00:00:00 /usr/sbin/kerneloops
0 S mangesh     2433    1651  0  80   0 - 103962 do_pol 08:47 ?       00:00:00 /usr/bin/Thunar --daemon
0 S mangesh     2434    1825  0  80   0 - 133927 do_pol 08:47 ?       00:00:00 /usr/libexec/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
0 S mangesh     2483    1879  0  80   0 - 839037 do_pol 08:48 ?       00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
0 S mangesh     2511    1651  0  80   0 - 59104 do_pol 08:48 ?        00:00:00 /usr/libexec/gvfsd-metadata
0 S mangesh     2524    1651  0  80   0 - 175418 do_pol 08:48 ?       00:00:00 /usr/libexec/xdg-desktop-portal
0 S mangesh     2536    1651  0  80   0 - 134140 do_pol 08:48 ?       00:00:00 /usr/libexec/xdg-document-portal
4 S root        2542    2536  0  80   0 -   676 -      08:48 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
0 S mangesh     2546    1651  0  80   0 - 298007 do_pol 08:48 ?       00:00:00 /usr/libexec/xdg-desktop-portal-gnome
0 S mangesh     2569    1651  0  80   0 - 103867 do_pol 08:48 ?       00:00:00 /usr/libexec/xdg-desktop-portal-gtk
0 S mangesh     3001    1651  0  80   0 - 211212 do_pol 08:49 ?       00:00:10 /usr/libexec/gnome-terminal-server
0 S mangesh     3013    3001  0  80   0 -  2874 do_wai 08:49 pts/0    00:00:00 bash
0 S mangesh     3023    1836  0  80   0 - 141605 do_pol 08:49 ?       00:00:00 /usr/bin/update-notifier
0 S mangesh     3299    1651  0  80   0 - 365385472 do_pol 08:49 ?    00:00:20 /snap/code/217/usr/share/code/code --no-sandbox . --ozone-platform=x11
0 S mangesh     3301    3299  0  80   0 - 8516926 do_pol 08:49 ?      00:00:00 /snap/code/217/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
0 S mangesh     3302    3299  0  80   0 - 8516928 do_pol 08:49 ?      00:00:00 /snap/code/217/usr/share/code/code --type=zygote --no-sandbox
0 S mangesh     3316    1651  0  80   0 - 8394116 ep_pol 08:49 ?      00:00:00 /snap/code/217/usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/mangesh/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=dca37353-34a3-42e5-bcbb-a15fe8d189c3&iid=dca37353-34a3-42e5-bcbb-a15fe8d189c3&sid=dca37353-34a3-42e5-bcbb-a15fe8d189c3 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.107.1 --annotation=lsb-release=Ubuntu 24.04.3 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=39.2.3 --initial-client-fd=48 --shared-client-connection
0 S mangesh     3426    3299  0  80   0 - 8472096 futex_ 08:49 ?      00:00:00 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=3316 --enable-crash-reporter=482c9455-cab8-4493-bb14-4b2f527aebfb,no_channel --user-data-dir=/home/mangesh/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,9451207432275656962,4891415603116661424,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041
1 S mangesh     3462    3302  3  80   0 - 366273824 futex_ 08:49 ?    00:02:26 /snap/code/217/usr/share/code/code --type=zygote --no-sandbox
0 S mangesh     3479    3299  1  80   0 - 12706001 do_pol 08:49 ?     00:00:48 /proc/self/exe --type=gpu-process --disable-gpu-sandbox --no-sandbox --ozone-platform=x11 --crashpad-handler-pid=3316 --enable-crash-reporter=482c9455-cab8-4493-bb14-4b2f527aebfb,no_channel --user-data-dir=/home/mangesh/.config/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAQAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=3,i,9451207432275656962,4891415603116661424,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
0 S mangesh     3513    3299  0  80   0 - 365329315 futex_ 08:49 ?    00:00:06 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=3316 --enable-crash-reporter=482c9455-cab8-4493-bb14-4b2f527aebfb,no_channel --user-data-dir=/home/mangesh/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,9451207432275656962,4891415603116661424,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286
0 S mangesh     3526    3299  0  80   0 - 365329048 futex_ 08:49 ?    00:00:03 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=3316 --enable-crash-reporter=482c9455-cab8-4493-bb14-4b2f527aebfb,no_channel --user-data-dir=/home/mangesh/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,9451207432275656962,4891415603116661424,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708994745248135
0 S mangesh     3527    3299  0  80   0 - 365333306 futex_ 08:49 ?    00:00:04 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=3316 --enable-crash-reporter=482c9455-cab8-4493-bb14-4b2f527aebfb,no_channel --user-data-dir=/home/mangesh/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,9451207432275656962,4891415603116661424,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708995682289984
1 I root        4099       2  0  80   0 -     0 -      09:10 ?        00:00:00 [kworker/6:3-mm_percpu_wq]
1 I root        4100       2  0  60 -20 -     0 -      09:14 ?        00:00:00 [kworker/u65:1]
1 I root        4322       2  0  80   0 -     0 -      09:36 ?        00:00:00 [kworker/12:0-events]
0 S mangesh     4352    1651  0  80   0 - 501655 do_pol 09:37 ?       00:00:01 /usr/bin/nautilus --gapplication-service
0 S mangesh     4382    1825  0  80   0 - 97123 do_pol 09:37 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.22 /org/gtk/gvfs/exec_spaw/1
1 D root        4396       2  0  60 -20 -     0 -      09:38 ?        00:00:01 [kworker/u65:2+i915_flip]
0 S mangesh     4398    1651  0  80   0 - 482970 do_pol 09:38 ?       00:00:02 /usr/bin/gnome-text-editor /home/mangesh/Info.txt
1 I root        4431       2  0  80   0 -     0 -      09:38 ?        00:00:00 [kworker/2:1]
1 I root        4473       2  0  80   0 -     0 -      09:39 ?        00:00:00 [kworker/8:1-mm_percpu_wq]
1 I root        4477       2  0  80   0 -     0 -      09:39 ?        00:00:00 [kworker/0:5-events]
1 I root        4481       2  0  80   0 -     0 -      09:39 ?        00:00:00 [kworker/0:9-events]
1 I root        4497       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/u64:34-i915]
1 I root        4516       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/u64:53-events_power_efficient]
1 I root        4521       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/u64:58-events_power_efficient]
1 S root        4524       2  0   9   - -     0 -      09:47 ?        00:00:00 [irq/203-mei_me]
1 I root        4525       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/3:1-events]
1 I root        4530       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/4:4-pm]
1 I root        4532       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/4:5-mm_percpu_wq]
1 I root        4562       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/9:0-events]
1 I root        4579       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/6:0-cgroup_destroy]
1 I root        4585       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/6:2-cgroup_destroy]
4 S root        4605       1  0  80   0 - 120625 -     09:49 ?        00:00:00 /usr/libexec/fwupd/fwupd
1 I root        4618       2  0  80   0 -     0 -      09:49 ?        00:00:00 [kworker/15:1]
1 I root        4869       2  0  80   0 -     0 -      09:54 ?        00:00:00 [kworker/1:0]
0 S root        4953    1777  0  80   0 -   803 -      09:56 ?        00:00:00 sleep 3600
1 I root        5049       2  0  80   0 -     0 -      10:00 ?        00:00:00 [kworker/6:1-events]
0 S mangesh     5053    3001  0  80   0 -  2875 do_sel 10:01 pts/1    00:00:00 bash
1 I root        5061       2  0  80   0 -     0 -      10:02 ?        00:00:00 [kworker/8:0]
1 I root        5062       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:0-events]
1 I root        5063       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:1]
1 I root        5064       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:2-events]
1 I root        5065       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:3-events]
1 I root        5066       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:4-events]
1 I root        5067       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:6-events]
1 I root        5068       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:7-events]
1 I root        5069       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/0:8-events]
1 I root        5074       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/12:2-events]
1 I root        5076       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/9:2]
1 I root        5120       2  0  80   0 -     0 -      10:04 ?        00:00:00 [kworker/4:0-events]
1 I root        5121       2  0  80   0 -     0 -      10:04 ?        00:00:00 [kworker/4:1-events]
1 S mangesh     5123    1651  0  80   0 -   670 hrtime 10:04 pts/1    00:00:00 ./myexe
0 R mangesh     5124    3013 99  80   0 -  3448 -      10:04 pts/0    00:00:00 ps -elf
